model,a,b,c,expected,predicted,correct,similarity,missing_words
custom-wikitext2,king,man,woman,queen,james,False,0.830325,
custom-wikitext2,queen,woman,man,king,charlotte,False,0.841278,
custom-wikitext2,france,paris,london,england,forbs,False,0.8721,
custom-wikitext2,italy,rome,madrid,spain,fulbe,False,0.839001,
custom-wikitext2,germany,berlin,paris,france,france,True,0.917458,
custom-wikitext2,london,england,france,paris,2012,False,0.748122,
custom-wikitext2,bigger,big,small,smaller,weak,False,0.731135,
custom-wikitext2,better,good,bad,worse,shorter,False,0.691997,
custom-wikitext2,walking,walk,run,running,report,False,0.748819,
custom-wikitext2,french,france,germany,german,inside,False,0.811078,
custom-wikitext2,daughter,son,father,mother,mother,True,0.856779,
custom-wikitext2,sister,brother,boy,girl,volunteer,False,0.718253,
custom-wikitext2,days,day,year,years,months,False,0.874237,
custom-wikitext2,his,he,she,her,wife,False,0.888867,
custom-wikitext2,played,play,win,won,victory,False,0.74308,
custom-wikitext2,two,one,three,four,four,True,0.846862,
glove.6B.100d,king,man,woman,queen,queen,True,0.783441,
glove.6B.100d,queen,woman,man,king,king,True,0.79405,
glove.6B.100d,france,paris,london,england,britain,False,0.89995,
glove.6B.100d,italy,rome,madrid,spain,spain,True,0.806109,
glove.6B.100d,germany,berlin,paris,france,france,True,0.911858,
glove.6B.100d,london,england,france,paris,paris,True,0.883899,
glove.6B.100d,bigger,big,small,smaller,larger,False,0.877842,
glove.6B.100d,better,good,bad,worse,worse,True,0.839269,
glove.6B.100d,walking,walk,run,running,running,True,0.813749,
glove.6B.100d,french,france,germany,german,german,True,0.956453,
glove.6B.100d,daughter,son,father,mother,mother,True,0.956055,
glove.6B.100d,sister,brother,boy,girl,girl,True,0.886674,
glove.6B.100d,days,day,year,years,months,False,0.906504,
glove.6B.100d,his,he,she,her,her,True,0.985953,
glove.6B.100d,played,play,win,won,won,True,0.861862,
glove.6B.100d,two,one,three,four,four,True,0.925049,
